评论,时间,点赞数
我来了姐妹们[脱单doge][脱单doge]ac一发出视频，所有养老院的姐妹就看着它笑，有的叫道：“ac，你弹幕评论又被我们刷满了！”他不回答，在直播里对粉丝说：“这群疯狗人不多。”便继续拒绝道歉。姐妹们又故意高声嚷道：“你一定偷了人家的图！！”ac睁大眼睛说：“你怎么这样凭空污人清白……”“什么清白？我们亲眼见你盗了亚瑟的图作头像，吊着打。”ac便涨红了脸，脸上的青筋条条绽出，争辩道：“盗图不能叫偷……盗图！唱见的事，能叫偷么？”接连便是难懂的话，什么“道德绑架”，什么“不用理那些人”，什么“没有资格让我跟他们道歉”，引得众人都哄笑起来，养老院内外充满了快活的空气。鲁迅先生yyds！！[脱单doge][脱单doge][脱单doge],2021-07-15 15:37:31,61
用着日漫的画面 嘴里说着不爱国 老双标了[吐],2021-07-20 01:05:12,68
三级号是个可爱的小生物，路过的每个哥哥姐姐都会摸摸他的头并且留下一个赞。(=・ω・=),2021-02-14 19:30:20,88
“亚瑟能给你们发原创歌曲吗？”,2021-07-19 22:52:14,58
一大阿婆还要描图头像,2021-07-10 19:07:23,58
我喝过你喝过的西北风，那我们算不算一起穷,2021-01-22 21:00:34,84
三个字？告  我  啊,2021-07-13 20:01:14,57
头像描图你很牛？[笑][呆],2021-07-10 13:58:19,57
我愿称之为大龄儿童踹养老院大门,2021-07-14 09:34:17,55
错位时空像别的歌因为没石锤我没计较。但你头像描图亚瑟是不是有点过了？,2021-07-11 01:16:02,55
突然想起来了以前暗恋的一个男生。毕业的那天，我一个人回家，突然发现后面有辆自行车，是我暗恋的那个男生的。我没有回头和他打招呼，他也没有骑到前面来和我打招呼。我就一路走回了家，他就骑着自行车在我后面，一直小心着不超过我。后来就再也没见过面了。,2021-02-13 03:13:10,74
欢迎大家继续翻它黑历史，我可以来总结:[脱单doge]1原头像描图亚瑟柯克兰，态度极其恶劣2视频直接盗用aph的图(小菊亚瑟)3无版权翻唱撒野还魔改4现头像人设是偷的零度恋人的，来人细说[脱单doge](还有一个不确定的，说是初期头像描图排骨教主)希望大家多多发现[脱单doge]大家可以转下这个[脱单doge]随便扩散，这种人品的家伙指不定哪里又翻出来黑历史呢,2021-07-15 19:05:46,91
艾辰代表作:《告 我 啊》《不 换 咋 地》《一 群 疯 狗》《我 做 你 们 的 亚 瑟》《他 没 给 粉 丝 写 过 歌 吧》,2021-07-20 15:39:16,54
当你点开按时间的那一刻我就知道你是友军了[脱单doge][脱单doge],2021-07-16 18:35:26,54
欢迎大家继续翻它黑历史，我可以来总结:[脱单doge]头像描图，态度极其恶劣视频直接盗用aph的图(还有一个不确定的，说是初期头像描图排骨教主，以及，撒野那事希望来个朋友细说[脱单doge])希望大家多多发现[脱单doge],2021-07-14 23:52:08,54
描图不打算道歉了这是,2021-07-10 13:19:03,54
呜呜呜呜呜呜呜呜呜呜呜亚瑟宝原来那么努力练习中文吗呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜路转粉了呜呜呜呜呜呜呜呜,2021-07-15 11:52:36,53
【转发】艾辰黑历史合集：均  已  石  锤1.原头像描图亚瑟柯克兰，态度极其恶劣，且并不是全然无知，17年用原图做过头像2.视频《痒》直接盗用aph的图(小菊亚瑟)（【艾辰】痒（受音&攻音）骚起来自己都害怕自己）3.无版权翻唱撒野还魔改4.现头像人设是偷的零度恋人的，来人细说5.《念》Pv是描冰菓的6.酷狗音乐《醉赤壁》，网易云音乐《入戏太深》《踏山河》用的是英的那张图7.弦森要求《千灯愿》全网下架后艾辰继续翻唱，弦森礼貌提醒其删除后被拒绝，其粉丝还去骂弦森8.盗图《恋与制作人》中的白起9.网易云音乐《情话》封面是本田菊和本田樱的同人图10.微博小店仍试用亚瑟柯克兰的图片作为头像11.使用动漫《文豪野犬》作为视频素材没有标明出处（【艾辰】——感官先生，视频名叫“感官先生”）12.《君不见》（【艾辰】君不见）碰瓷剑网三13.《明灯引》歌词灵感来于《天官赐福》但不让说，歌词抄袭《天官赐福》，封面歌名也碰瓷该作品14.初期头像描图排骨教主15.碰瓷《二哈和他的白猫师尊》主题曲16.现B站背景为《黑塔利亚》角色亚瑟.柯克兰之前被侵权描改做头像那张图的翻描，而原作者曾表示禁止再次使用。  ,2021-07-19 18:14:17,51
我来了姐妹们[脱单doge][脱单doge]ac一发出视频，所有养老院的姐妹就看着它笑，有的叫道：“ac，你弹幕评论又被我们刷满了！”他不回答，在直播里对粉丝说：“这群疯狗人不多。”便继续拒绝道歉。姐妹们又故意高声嚷道：“你一定偷了人家的图！！”ac睁大眼睛说：“你怎么这样凭空污人清白……”“什么清白？我们亲眼见你盗了亚瑟的图作头像，吊着打。”ac便涨红了脸，脸上的青筋条条绽出，争辩道：“盗图不能叫偷……盗图！唱见的事，能叫偷么？”接连便是难懂的话，什么“道德绑架”，什么“不用理那些人”，什么“没有资格让我跟他们道歉”，引得众人都哄笑起来，养老院内外充满了快活的空气。鲁迅先生yyds！！[脱单doge][脱单doge][脱单doge],2021-07-15 11:02:18,50
听着这歌想起墨茶，第四次破防大哭......,2021-01-28 02:00:32,68
各位小橙子们翻翻族谱看看是谁关注的up主更新了[妙啊],2021-01-22 19:26:01,73
艾辰黑历史（请多多宣传一下）1，骂阴阳怪气，说他们只是炒作。2.原头像描图亚瑟柯克兰，态度极其恶劣 3.视频《痒》直接盗用aph的图(小菊亚瑟)（【艾辰】痒（受音&攻音）骚起来自己都害怕自己） 4.无版权翻唱撒野还魔改 5.现头像人设是偷的零度恋人的，来人细说 6.《念》Pv是描冰果的 7.酷狗音乐《醉赤壁》用的是英的那张图 8.弦森要求《千灯愿》全网下架后艾辰继续翻唱，弦森礼貌提醒其删除后被拒绝，其粉丝还去骂弦森 9.盗图《恋与制作人》中的白起 10.网易云音乐《情话》封面是本田菊和本田樱的同人图 11.微博小店仍试用亚瑟柯克兰的图片作为头像 12.使用动漫《文豪野犬》作为视频素材没有标明出处（【艾辰】——感官先生） 13.《君不见》（【艾辰】君不见）碰瓷剑网三 14.《明灯引》歌词灵感来于《天官赐福》但不让说，歌词抄袭《天官赐福》，封面歌名也碰瓷该作品 15.初期头像描图排骨教主 16.碰瓷《二哈和他的白猫师尊》主题曲 17.现B站背景为《黑塔利亚》角色亚瑟.柯克兰之前被侵权描改做头像那张图的翻描，而原作者曾表示禁止再次使用。 （总结的，欢迎补充复制）,2021-07-18 05:46:17,49
英sir🇬🇧入b站啦[打call]！！！welcome to China！！！[给心心],2021-07-17 01:57:17,49
翻了这么多评论都是说亚蒂来当唱见的，这群人怎么能这样！我nori的歌比它强好多好吧？这波啊 这波是蹭亚瑟和nori热度[脱单doge],2021-07-15 22:22:25,49
提醒一下，描的不只有亚瑟，还有小菊哦[脱单doge]多次描图自用，aph圈老熟人了[脱单doge]道歉道歉道歉~,2021-07-14 22:44:20,49
▬▬▬▬.◙.▬▬▬▬    ▂▄▄▓▄▄▂◢◤ █▀▀████▄▄▄▄◢◤█ 白嫖专用逃跑机[doge] █▀……╬    ◥██████◤   ══╩══╩══（一个赞一张票）,2021-02-12 14:40:48,72
我吃过英sir吃过的司康，那我们算不算结婚[doge],2021-07-17 10:14:24,48
谢谢你能来中国，作为粉了你很多年的粉丝真的很感动，连夜又听了几遍你以前的歌，没想到这次你能唱中文歌，还没有外国口音，一定是下足了功夫😭谢谢你，亚瑟柯克兰，远渡重洋来看中国粉丝，，Welcome！UK！！！,2021-07-14 19:33:55,48
UK Welcome to bilibili[给心心][给心心][给心心],2021-07-14 07:10:29,48
亚瑟柯克兰来b站啦，伊厨欢迎~,2021-07-14 06:33:49,48
#亚瑟柯克兰 来中国当唱见#,2021-07-13 18:50:14,54
不打算道个歉吗？[微笑],2021-07-13 18:30:52,47
这是路过的蚂蚁都要喊绝的程度[doge][doge][doge],2021-01-22 18:18:27,79
艾辰事件:（复制评论）欢迎大家继续翻它黑历史，我可以来总结:[脱单doge]1原头像描图亚瑟柯克兰，态度极其恶劣2视频直接盗用aph的图(小菊亚瑟)3无版权翻唱撒野还魔改4现头像人设是偷的零度恋人的，来人细说5《念》Pv是描冰果的[脱单doge](还有一个不确定的，说是初期头像描图排骨教主)希望大家多多发现[脱单doge]大家可以转下这个[脱单doge]随便扩散，这种人品的家伙指不定哪里又翻出来黑历史呢（复制评论）艾辰的头像是黑塔利亚人物:亚瑟·柯克兰，加上了自己的元素，很多人希望艾辰换个头像，可他头像没有换并且说话很难听，因为态度恶劣并且占着我们喜欢的人物描图所以我们来冲艾辰，希望头脑清醒的姐妹理智脱粉，有些不明所以的姐妹可以代入自己非常喜欢的角色被人描图做头像，不但不换头像且态度十分恶劣，我相信你如果不是找不愉快就应该理智脱粉，离这种晦气的人远一些。希望大家都能理智，清醒，如果这条被删掉，我还是会发，直到艾辰道歉为止！谢谢大家看完这段话来，我发一下大家想要的道歉:1头像描图亚瑟，已找到原画师，请向原画师道歉，画师本人素质好被偷了东西不追究不代表小偷是对的，不代表小偷有脸继续使用这些东西2看番剧的友善提醒换头像，ac回复:来告我啊，求求你了。足以看出此人素质低下，无版权意识，建议ac的歌可以全部无授权使用，毕竟这是本人的态度(虽然估计没人瞧的上)3直播辱骂看番剧的人“疯狗”“小学生暑假啦”，并嘲讽番剧根本没人看，不配让他道歉4加一条，5年前就开始偷aph的东西了，是个惯犯来洗地的粉丝，你giegie这三点道歉，他做到哪点了?随便转发，不客气[脱单doge]（复制评论）“告我啊，求求你了”[微笑],2021-07-17 02:27:14,46
几年前我眼睛瞎了在全民K歌认识的你给你在荔枝直播刷了好几千块钱礼物[吐]（那是我一个月工资只有2300块钱）[无语]我给你刷礼物那时叫小子夜。加到了你微信你拉我的微信群我两年前就退了群还有加你的QQ群也退了群。纸片人在心中第一盗用我亚瑟跟黑塔利亚的图要点脸行吗[再见][再见][再见],2021-07-15 09:10:02,46
歌特别好听，所以我把它设成了我的闹钟铃声，从第一次这个闹钟响起开始，我听到这首歌就莫名恐惧。[doge],2021-01-29 21:04:10,58
素材动漫：《悠久之翼》 《境界的彼方》电影：《天气之子》  《海兽之子》 《你的名字》《海边的异邦人》短片：《十字路口》loundraw短片宣传pv（我也不是很懂）：《直到梦醒时分》《物語を君へ》《十年分の私へ》（给十年后的自己） 《君のしいる場所》（你所存在的地方）《CHRONIOLE》待补充，有漏，来晚了w,2021-01-22 19:43:31,58
此时一个自信的少女打开了全民K歌[脱单doge],2021-02-17 19:45:50,57
艾辰代表作:《告 我 啊》[给心心][给心心][给心心]《不 换 咋 地》[给心心]《一 群 疯 狗》[给心心]《我 做 你 们 的 亚 瑟》[给心心][给心心][给心心][给心心]《他 没 给 粉 丝 写 过 歌 吧》[给心心][给心心][给心心][给心心][给心心][给心心][给心心][给心心][给心心],2021-07-22 09:38:05,45
拜托眉毛都敢描 智力沙漠了属于是 亚瑟我是你粉丝啊——,2021-07-13 17:40:02,45
宁这唱的还没亚瑟的死杠好听,2021-07-17 12:23:59,98
怎么会有形容爱而不得形容得这么好的词和曲啊,2021-01-27 18:18:50,61
我描你已热爱的人物～直播间又在装纯无辜～骂原主骂的如此炉火纯青～我无辜～我家粉丝真的素质～我是否可以成为柯克兰～反正怎么样都比他好～我nb～NB～(魔改了高潮歌词，可以试着翻唱一下，说不定哪天我能剪个视频全魔改diss一下[doge][doge]),2021-07-18 08:29:47,44
换头像,2021-07-10 16:51:14,44
在，头像？,2021-07-10 14:47:34,44
几次了？前面的《千灯愿》我可以说我没太爱天官，《撒野》可以说是宠粉太过了，那这次呢？全民K歌的时候是粉丝带着你步入正途，你就是这样“成为粉丝的亚瑟的”？酷狗软件很多歌都缺版权，咱用几年为了谁宁没点数？就这样“宠粉”，连个自设都不愿意找个画师原创？你宠粉但你在tag里带动粉丝搞露脸欺诈，溜粉溜上一年才露脸你好nb哦。你的原创歌曲我基本每首都会背歌词，和朋友去ktv只有我一人点你的歌唱完，宁出事后朋友就算讨厌宁，却仍试探我的态度，都知道我粉你三年，是真的喜欢你的歌，而你就是这么对粉丝的？？？阴阳怪气是假的是热度那你和vk呢？你的歌曲评论区下面那么多真情实感嗑cp的（不是开玩笑的语气）评论宁不管，我以为是宁放的开，原来只是炒作而已为了热度罢了太ex了，你作为创作者，你应该知道版权的重要性，vk（作为你口中的朋友）曾经被全民K歌坑过，你应该知道这样子的伤害很大，你却义无反顾的走上了这条伤害别人的路，虽然对方只是一个没有实体的动漫人物。很失望，我曾经对你的三年的爱让我无法真的骂你骂的多凶残，但是你真的…很出乎意料，情绪不是一下子爆发的，以前的很多次擦边球都是在消耗粉丝的热情，你卖和粉丝打成一片的人设，宠粉人设，歌曲评论区像饭圈，你还乐在其中，没有人评价唱功，只是一群人在发你干了什么该干的事情，变成了宠粉的事情，其实你最出圈的翻唱是什么你自己也清楚，“扇子舞”作为最出圈的翻唱你仍不动于衷甚至享受带来的红利，兴许你才是最爱热度，为了热度的那个人罢了。,2021-07-19 14:55:22,50
说高光抄袭那几位，你们说的每一句话怕不是都是抄袭别人的吧？这个世界上不同的人有相同的想法不很正常？不然陌生人之间哪来那么多共鸣？你这也说抄袭的话那你现在说的每一个字，每一句话不都是抄袭先人说过的？你这不也算抄袭？那我是不是可以告你了？就离谱，看不得别人火是不是？,2021-02-07 19:43:26,79
艾辰黑历史（请多多宣传一下） 1，骂阴阳怪气，说他们只是炒作。2.原头像描图亚瑟柯克兰，态度极其恶劣 3.视频《痒》直接盗用aph的图(小菊亚瑟)（【艾辰】痒（受音&攻音）骚起来自己都害怕自己） 4.无版权翻唱撒野还魔改 5.现头像人设是偷的零度恋人的，来人细说 6.《念》Pv是描冰菓的 7.酷狗音乐《醉赤壁》用的是英的那张图 8.弦森要求《千灯愿》全网下架后艾辰继续翻唱，弦森礼貌提醒其删除后被拒绝，其粉丝还去骂弦森 9.盗图《恋与制作人》中的白起 10.网易云音乐《情话》封面是本田菊和本田樱的同人图 11.微博小店仍试用亚瑟柯克兰的图片作为头像 12.使用动漫《文豪野犬》作为视频素材没有标明评论来源：lof 吃瓜群众在线搞事,2021-08-15 18:14:56,60
如果爱有天意，也许李泽言会来到我的世界,2021-02-13 22:04:49,49
给爷刷上去，养老院的老人们[doge][doge][doge][doge],2021-07-19 20:58:24,43
描图大师艾辰别忘了道歉哦～[脱单doge],2021-07-16 02:22:28,43
艾辰的头像是黑塔利亚人物:亚瑟·柯克兰，加上了自己的元素，很多人希望艾辰换个头像，可他头像没有换并且说话很难听，因为态度恶劣并且占着我们喜欢的人物描图所以我们来冲艾辰，希望头脑清醒的姐妹理智脱粉，有些不明所以的姐妹可以代入自己非常喜欢的角色被人描图做头像，不但不换头像且态度十分恶劣，我相信你如果不是找不愉快就应该理智脱粉，离这种晦气的人远一些。希望大家都能理智，清醒，如果这条被删掉，我还是会发，直到艾辰道歉为止！谢谢大家看完这段话。【复制】,2021-07-14 17:05:29,43
UK，welcome to bilibili！！！,2021-07-14 13:00:16,43
请您更换头像,2021-07-10 14:02:45,43
亲换个头像[微笑],2021-07-10 13:41:20,43
在，改个头像？[微笑],2021-07-10 13:26:49,43
鬼火了艾辰发布错位时空三天就被下架发布DJ版的又是三天被下架然后翻唱艾辰这首歌的好听的都被下架了我TM用心做了几个小时艾辰原唱«错位时空»的MV发布后不但封面被改画质也变得很拉胯现在又是三天就把我下架了[生气][生气][生气][生气][生气],2021-02-02 21:31:09,68
养老院什么都缺，就是不缺人来叫盗图狗道歉，好好看看你被占领的评论区和弹幕,2021-07-20 11:45:51,42
反转了姐妹们，这波是奥利弗柯克兰为了预祝亚瑟柯克兰输球创作的歌曲[脱单doge][脱单doge],2021-07-14 21:41:20,42
道歉道歉道歉道歉道歉道歉道歉道歉道歉道歉道歉道歉道歉,2021-07-14 01:59:38,42
好晦气哦,2021-07-13 18:30:36,42
英厨狂怒,2021-07-13 18:30:28,42
晦气,2021-07-13 11:51:08,42
艾辰的头像是黑塔利亚人物:亚瑟·柯克兰，加上了自己的元素，很多人希望艾辰换个头像，可他头像没有换并且说话很难听，因为态度恶劣并且占着我们喜欢的人物描图所以我们来冲艾辰，希望头脑清醒的姐妹理智脱粉，有些不明所以的姐妹可以代入自己非常喜欢的角色被人描图做头像，不但不换头像且态度十分恶劣，我相信你如果不是找不愉快就应该理智脱粉，离这种晦气的人远一些。希望大家都能理智，清醒，如果这条被删掉，我还是会发，直到艾辰道歉为止！谢谢大家看完这段话。【复制】,2021-07-14 18:05:17,41
道歉！道歉！真以为我们养老院没人了？！！,2021-07-14 09:35:36,41
趁着眉毛子在中国当唱见，我悄咪咪说一声亚瑟柯克兰老子爱你,2021-07-14 08:04:11,41
没想到亚瑟在b站还有一首播放这么多的歌啊不错不错[微笑],2021-07-13 14:41:19,41
🇬🇧他是赛文河畔最动人的玫瑰🇬🇧🇬🇧他祖母绿的眸子里映的是日不落的曙光🇬🇧🇬🇧泰晤士河上空的残阳，是他光荣不散的余晖🇬🇧🇬🇧伦敦避无可避的落雨街巷，我寻无所寻的凡心所向🇬🇧🇬🇧日不落的光辉已经远去，但他激起的浪花撞击在你的胸膛🇬🇧🇬🇧他用魔法吟唱着唤起奇迹的咒语，带着红茶与玫瑰降临在这个世界🇬🇧🇬🇧我爱的人有着一头沙金色的短发，祖母绿色的眼眸无论何时都那样温柔🇬🇧,2021-07-25 17:20:33,46
道个歉吧，作为有名气的歌手对于描图等等一些影响不好的问题不该有担当态度吗,2021-07-19 20:25:56,40
（复制评论）艾辰的头像是黑塔利亚人物:亚瑟·柯克兰，加上了自己的元素，很多人希望艾辰换个头像，可他头像没有换并且说话很难听，因为态度恶劣并且占着我们喜欢的人物描图所以我们来冲艾辰，希望头脑清醒的姐妹理智脱粉，有些不明所以的姐妹可以代入自己非常喜欢的角色被人描图做头像，不但不换头像且态度十分恶劣，我相信你如果不是找不愉快就应该理智脱粉，离这种晦气的人远一些。希望大家都能理智，清醒，如果这条被删掉，我还是会发，直到艾辰道歉为止！谢谢大家看完这段话来，我发一下大家想要的道歉:1头像描图亚瑟，已找到原画师，请向原画师道歉，画师本人素质好被偷了东西不追究不代表小偷是对的，不代表小偷有脸继续使用这些东西2看番剧的友善提醒换头像，ac回复:来告我啊，求求你了。足以看出此人素质低下，无版权意识，建议ac的歌可以全部无授权使用，毕竟这是本人的态度(虽然估计没人瞧的上)3直播辱骂看番剧的人“疯狗”“小学生暑假啦”，并嘲讽番剧根本没人看，不配让他道歉4加一条，5年前就开始偷aph的东西了，是个惯犯来洗地的粉丝，你giegie这三点道歉，他做到哪点了?随便转发，不客气（复制评论）“告我啊，求求你了”￼----------------------------来自于快乐学习在歌曲<<来不及说再见>>的酷狗评论,2021-07-17 12:49:46,40
#亚瑟柯克兰 来中国当唱见#,2021-07-13 22:47:36,40
换头像[星星眼]还是说你想归到亚瑟手下管辖[星星眼],2021-07-13 17:05:59,40
艾辰黑历史（请多多宣传一下） 1，骂阴阳怪气，说他们只是炒作。2.原头像描图亚瑟柯克兰，态度极其恶劣 3.视频《痒》直接盗用aph的图(小菊亚瑟)（【艾辰】痒（受音&攻音）骚起来自己都害怕自己） 4.无版权翻唱撒野还魔改 5.现头像人设是偷的零度恋人的，来人细说 6.《念》Pv是描冰菓的 7.酷狗音乐《醉赤壁》用的是英的那张图 8.弦森要求《千灯愿》全网下架后艾辰继续翻唱，弦森礼貌提醒其删除后被拒绝，其粉丝还去骂弦森 9.盗图《恋与制作人》中的白起 10.网易云音乐《情话》封面是本田菊和本田樱的同人图 11.微博小店仍试用亚瑟柯克兰的图片作为头像 12.使用动漫《文豪野犬》作为视频素材没有标明评论来源：lof 吃瓜群众在线搞事,2021-08-19 18:31:11,50
晦气！！以为养老院没人了是吧,2021-07-14 10:18:20,39
删评论删弹幕挺快的啊,2021-07-14 09:02:17,39
在？换头像呗,2021-07-10 15:24:53,39
被这首歌虐过的瓶邪黑花人赶来[大哭],2021-02-01 03:10:37,49
求扩散艾辰黑历史（请多多宣传一下） 1，骂阴阳怪气，说他们只是炒作。2.原头像描图亚瑟柯克兰，态度极其恶劣 3.视频《痒》直接盗用aph的图(小菊亚瑟)（【艾辰】痒（受音&攻音）骚起来自己都害怕自己） 4.无版权翻唱撒野还魔改 5.现头像人设是偷的零度恋人的，来人细说 6.《念》Pv是描冰菓的 7.酷狗音乐《醉赤壁》用的是英的那张图 8.弦森要求《千灯愿》全网下架后艾辰继续翻唱，弦森礼貌提醒其删除后被拒绝，其粉丝还去骂弦森 9.盗图《恋与制作人》中的白起 10.网易云音乐《情话》封面是本田菊和本田樱的同人图 11.微博小店仍试用亚瑟柯克兰的图片作为头像 12.使用动漫《文豪野犬》作为视频素材没有标明评论来源：lof 吃瓜群众在线搞事,2021-08-12 22:05:50,38
同志们 咱狙他的目的是为了让他道歉，事情闹大了谁也不好看  建议大家不要进行人身攻击给圈子招黑，就事论事，“某某唱见被某圈粉丝逼到退圈”这肯定会给圈子带来影响。希望大家能克制情绪，不要让别人抓住把柄,2021-07-18 23:35:18,38
自己黑历史一大堆还描图，得了吧你就是唱见圈xz啊，糊糊糊糊糊糊糊,2021-07-15 20:11:31,38
🇬🇧他是赛文河畔最动人的玫瑰🇬🇧🇬🇧他祖母绿的眸子里映的是日不落的曙光🇬🇧🇬🇧泰晤士河上空的残阳，是他光荣不散的余晖🇬🇧🇬🇧伦敦避无可避的落雨街巷，我寻无所寻的凡心所向🇬🇧🇬🇧日不落的光辉已经远去，但他激起的浪花撞击在你的胸膛🇬🇧🇬🇧他用魔法吟唱着唤起奇迹的咒语，带着红茶与玫瑰降临在这个世界🇬🇧🇬🇧我爱的人有🇬🇧他是赛文河畔最动人的玫瑰🇬🇧🇬🇧他祖母绿的眸子里映的是日不落的曙光🇬🇧🇬🇧泰晤士河上空的残阳，是他光荣不散的余晖🇬🇧🇬🇧伦敦避无可避的落雨街巷，我寻无所寻的凡心所向🇬🇧🇬🇧日不落的光辉已经远去，但他激起的浪花撞击在你的胸膛🇬🇧🇬🇧他用魔法吟唱着唤起奇迹的咒语，带着红茶与玫瑰降临在这个世界🇬🇧🇬🇧我爱的人有着一头沙金色的短发，祖母绿色的眼眸无论何时都那样温柔🇬🇧着一头沙金色的短发，祖母绿色的眼眸无论何时都那样温柔🇬🇧,2021-07-15 15:36:33,38
这么大一个up不至于头像都约不了吧,2021-07-11 13:21:17,38
艾辰黑历史合集：均  已  石  锤1.原头像描图亚瑟柯克兰，态度极其恶劣，且并不是全然无知，17年用原图做过头像2.视频《痒》直接盗用aph的图(小菊亚瑟)（【艾辰】痒（受音&攻音）骚起来自己都害怕自己）3.无版权翻唱撒野还魔改4.现头像人设是偷的零度恋人的，来人细说5.《念》Pv是描冰菓的6.酷狗音乐《醉赤壁》，网易云音乐《入戏太深》《踏山河》用的是英的那张图7.弦森要求《千灯愿》全网下架后艾辰继续翻唱，弦森礼貌提醒其删除后被拒绝，其粉丝还去骂弦森8.盗图《恋与制作人》中的白起9.网易云音乐《情话》封面是本田菊和本田樱的同人图10.微博小店仍试用亚瑟柯克兰的图片作为头像11.使用动漫《文豪野犬》作为视频素材没有标明出处（【艾辰】——感官先生，视频名叫“感官先生”）12.《君不见》（【艾辰】君不见）碰瓷剑网三13.《明灯引》歌词灵感来于《天官赐福》但不让说，歌词抄袭《天官赐福》，封面歌名也碰瓷该作品14.初期头像描图排骨教主15.碰瓷《二哈和他的白猫师尊》主题曲16.现B站背景为《黑塔利亚》角色亚瑟.柯克兰之前被侵权描改做头像那张图的翻描，而原作者曾表示禁止再次使用。,2021-07-25 11:38:53,53
他用魔法吟唱着唤起奇迹的咒语，带着红茶与玫瑰降临在这个世界泰晤士河上空的残阳，是他光荣不散的余晖,2021-07-17 10:43:24,37
艾辰黑历史：1原头像描图亚瑟柯克兰，态度极其恶劣2视频直接盗用aph的图(小菊亚瑟)3无版权翻唱撒野还魔改4现头像人设是偷的零度恋人的，来人细说5《念》Pv是描冰果的6网易云专辑又偷小菊和樱的图7天宫同人曲翻唱，封面bl改bg(还是自己为男主)(还有一个不确定的，说是初期头像描图排骨教主),2021-07-17 10:40:46,37
《关于UK转生到bilibili做唱见这件事》,2021-07-15 00:23:06,37
看大家一直在这里骂他也没什么意思，不如我们学着老福特的样子把这一变成扩列楼得了[藏狐],2021-07-14 20:03:48,37
万万没想到，此人竟然是唱见圈xz,2021-07-14 10:29:01,37
请问宁是哪块殖民地[doge],2021-07-14 17:28:11,60
晚上好，唱见圈xz，请尽早糊穿地心噢[给心心],2021-08-13 00:08:30,47
看到彈幕，全是懦弱小學生告白牆，笑死，難怪全是悲劇,2021-09-04 01:07:45,42
晚上好，唱见圈xz，每日礼貌一问，请问宁糊了吗之前评论有个姐妹说宁道歉了让我删评，我删了，但最近又看见了宁的瓜，看了宁还是一如既往的恶心啊[给心心]希望宁早日凉透糊穿宇宙呢[给心心]真当冰菓和aph没人粉啊[给心心]还是希望宁能趁早和zs结婚，好一起糊透烂，也方便我们这些网友给你们翻面——糊得更彻底一点[给心心],2021-08-12 00:10:43,42
生活不易，UK卖艺,2021-07-15 00:21:31,36
来等道歉的朋友记得点个踩发电弹幕提醒再走[脱单doge][脱单doge][脱单doge][脱单doge]我顺便发个祝福:ac与xz百年好合。描图还骂番的人不配哈[脱单doge],2021-07-14 17:46:30,36
"纯路人,第一次听艾辰唱歌的时候是牵丝戏,那个时候我就觉得这个人唱歌好好听！然后一下就记住了。但一次也没怎么关注,今天就刷到了,点进来觉得还是那么好听  (歌声真的太绝了)",2021-01-23 04:23:21,46
恶心 向我们英厨道歉以及和画手道歉[微笑],2021-07-13 14:34:12,41
歌不错。人不行。,2021-08-13 13:03:33,35
惭愧，听了几个月五四特别版才知道原来是翻唱。慕名而来听了原曲，实话实说，原词真挺口水的，共青团的填词境界就高了一档，尤其是配合觉醒年代mv或者奥运mv，搬上春晚都不为过。不过还是感谢up的编曲，旋律真的好听。,2021-08-04 00:57:50,35
好吧，断断续续的了解了下。当初我用B站只看番时，就从音乐软件听过他歌了，也算个粉丝（听歌的那种）。就是，没想到音乐区的up能搞出这么多事。取关献上,2021-07-20 00:47:44,35
（转）姐妹们姐妹们，现在艾辰可能不会管b站这边了，艾晨昨天又在dy发布了歌，我们现在应该把战力转移到dy那边，抖音现在姐妹少的可怜[时光代理人_来活了],2021-07-19 14:16:21,35
那个艾辰有没有为他的粉丝踢过欧洲杯，为他的粉丝，卖点什么的，创造点一些np点的科技。你们艾辰有没有给你们发明过汽车还创作官方谷子。有没有为你们美帝瞎过眼啥的，唉，没关系，以后我来做艾辰的爸爸好吗。[给心心],2021-07-17 21:33:25,35
评论,时间,点赞数
我喝过你喝过的西北风，那么我们算不算一样穷[思考],2021-02-05 12:50:32,71308
此时一个自信的少年打开了全民K歌[doge],2021-01-27 11:40:57,58728
听到这句歌词“我吹过你吹过的晚风，那我们算不算相拥”时，突然记起了这句话“两处相思同淋雪，此生也算共白头”,2021-01-29 22:25:06,40536
女朋友推荐来的她说“我吹过你吹过的晚风，那我们算不算相拥”这句歌词让她爱上了这首歌虽然现在我们相隔大半个中国，而且她是一名医生，蛮让我担心的，希望你可以好好的回到我身边吧，未来可期,2021-02-01 04:43:55,30760
“我和我的他，差了一个次元。”,2021-02-01 18:46:32,22434
我一个高一复读的高三生听到“自不量力的复读生完不成金榜题名的使命”的时候就已经哭的稀里哗啦了[大哭],2021-01-23 13:15:27,16491
我和我的纸片人男友们.jpg[酸了],2021-02-08 15:11:19,14110
我喝过你喝过的西北风~那我们算不算相拥[doge],2021-01-22 18:45:55,9930
