评论内容,购买商品,星级
"好吃，好吃😊
第一次发现有这么好吃的饮料呢，我平常不喝奶茶之类的饮料。
料很足，汤很浓。爱了爱了(⑉°з°)-♡",【小春哥同款】书亦烧仙草(大杯)1杯,50
大杯料超多，喝完一杯晚饭也不用吃了,【小春哥同款】书亦烧仙草(大杯)1杯,50
大杯烧仙草，没要仙草，料也没有半杯啊，也就杯底一点,【小春哥同款】书亦烧仙草(大杯)1杯,10
里面有个女店员什么态度？不会好好说话？做服务行业请你说话语气好点,【小春哥同款】书亦烧仙草(大杯)1杯,10
还可以的吧，「#套餐：书亦烧仙草（大杯）」每次都点招牌,【小春哥同款】书亦烧仙草(大杯)1杯,50
这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比、服务。,【惠】椰椰烧仙草（大杯）1杯,50
不是半杯料吗？套餐里还有2块钱小料，真没喝到什么小料,黄金珍奶+任意一种2元小料1杯,10
超级好喝，很喜欢，经常开车来买,【惠】椰椰烧仙草（大杯）1杯,50
常温，凉的，就像喝自来水一样………………,【热销】书亦烧仙草（大杯）1杯,10
人非常多，要等半个多小时，但是没想象中好喝。,小芋圆烧仙草（中杯）1杯,50
店内环境很好，热度很高呀。排队人挺多的，不过饮品味道都很棒。,【小春哥同款】书亦烧仙草(大杯)1杯,50
还不错，喜欢里面的葡萄干,书亦烧仙草（中杯）1杯,40
此次用餐总体来说不错，觉得比较认可的地方有：份量充足、配菜合理、菜品丰富、口味不错、服务到位、环境优美。,【小春哥同款】书亦烧仙草(大杯)1杯,50
半杯都是料没感觉到，只感觉到了半杯都是冰,小料6选1,30
料挺多的,【小春哥同款】书亦烧仙草(大杯)1杯,40
"「#套餐：书亦烧仙草（大杯）」
【口味】
【性价比】
料很足，味道也很棒。
【口味】「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」「#套餐：书亦烧仙草（大杯）」",【小春哥同款】书亦烧仙草(大杯)1杯,40
口感非常好，份量非常足，里面的料很多,书亦烧仙草（中杯）1杯,50
炒鸡好喝我和我姐姐都特别喜欢,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
很满意的一次就餐体验，整体评价的话我觉得：服务到位、口味不错、份量充足、环境优美。,【惠】椰椰烧仙草（大杯）1杯,50
味道还可以,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
还行吧 材料太足 个人不喜欢太多料的,书亦烧仙草（中杯）1杯,30
此次用餐总体来说不错，觉得比较认可的地方有：口味不错。,【小春哥同款】书亦烧仙草(大杯)1杯,50
此次用餐总体来说不错，觉得比较认可的地方有：口味不错、份量充足、服务到位、环境优美、菜品丰富。,【小春哥同款】书亦烧仙草(大杯)1杯,40
不喜欢里面硬硬的东西，服务员说给我去冰的，，,【小春哥同款】书亦烧仙草(大杯)1杯,30
书亦烧仙草真的半杯都是料，赞👍,【小春哥同款】书亦烧仙草(大杯)1杯,50
服务态度有点待理不理的感觉，而且服务员有点吵。,书亦烧仙草（中杯）1杯,20
很满意的一次就餐体验，整体评价的话我觉得：份量充足。,【小春哥同款】书亦烧仙草(大杯)1杯,50
好喝哟,酸奶烧仙草（中杯）1杯,50
此次用餐总体来说不错，觉得比较认可的地方有：服务到位。,书亦烧仙草（中杯）1杯,50
去年在长沙出差的时候爱上了烧仙草，这次偶然来大学城发现竟然也来了一家，好兴奋，味道没有变，以后会经常去的,【小春哥同款】书亦烧仙草(大杯)1杯,50
这次就餐整体感觉很赞，比较满意的方面有：口味不错、份量充足、环境优美。,【小春哥同款】书亦烧仙草(大杯)1杯,50
此次用餐总体来说不错，觉得比较认可的地方有：份量充足。,【小春哥同款】书亦烧仙草(大杯)1杯,50
这次就餐整体感觉很赞，比较满意的方面有：环境优美、服务到位。,【小春哥同款】书亦烧仙草(大杯)1杯,50
此次用餐总体来说不错，觉得比较认可的地方有：口味不错。,【新品】黄金芝士厚乳烧仙草（大杯）1份,40
很满意的一次就餐体验，整体评价的话我觉得：环境优美。,葡萄酸奶冰1杯,50
味道还可以，服务好的很，只能说一分钱一份货,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
很满意的一次就餐体验，整体评价的话我觉得：配菜合理。,草莓啵啵酸奶1杯,50
这次就餐整体感觉很赞，比较满意的方面有：口味不错。,【小春哥同款】书亦烧仙草(大杯)1杯,50
好好喝,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
"好喝！
大杯里面的料真的超多！爱吃甜的不会觉得甜度很高，我觉得真的不错👍🏻性价比很高！",【小春哥同款】书亦烧仙草(大杯)1杯,50
现在基本喝奶茶不用思考哪一家了，肯定首选书亦烧仙草家,【小春哥同款】书亦烧仙草(大杯)1杯,50
好喝 能当饭吃「#套餐：书亦烧仙草（大杯）」,【小春哥同款】书亦烧仙草(大杯)1杯,50
我和娃娃都爱喝，半杯料所言不虚,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
忘了写评价了，真的很好喝，料多最喜欢里面的花生碎,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
葡萄芋圆冻冻是真的非常好喝 颜值又高 味道又好,,50
环境可以的，奶茶很好喝,【小春哥同款】书亦烧仙草(大杯)1杯,50
非常不错，买了两杯,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
小哥哥服务好，我不太喜欢喝太甜的，烧仙草就是不能少糖,【小春哥同款】书亦烧仙草(大杯)1杯,40
冰奶茶里面的珍珠好硬 没咋煮熟的样子，里面的葡萄干味道不错,【小春哥同款】书亦烧仙草(大杯)1杯,10
好喝！量很足！,【小春哥同款】书亦烧仙草(大杯)1杯,50
特别好吃 半杯都是料,葡萄柚益菌多1杯,50
「#套餐：书亦烧仙草（大杯）」非常好,【小春哥同款】书亦烧仙草(大杯)1杯,50
非常喜欢喝她家的果茶,,50
安大学子强烈建议送外卖，这么好的奶茶，我要给所有人都安利,,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
h好喝！还能再喝十杯,杨枝甘露酸奶1杯,50
颜值在线！味道也不错！做到了实力与颜值并存！希望经常有活动,草莓啵啵酸奶1杯,50
,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
,【小春哥同款】书亦烧仙草(大杯)1杯,40
,黄金珍珠奶茶1杯,45
,黑糖小芋圆奶茶1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,黑糖小芋圆奶茶1杯,50
,黄金珍珠奶茶1杯,50
,牛魔王黑砖奶茶1杯,50
,双杯芒椰小丸子1份,50
,黄金珍珠奶茶1杯,50
,【惠】椰椰烧仙草（大杯）1杯,50
,多肉西瓜冰茶（大杯）1份,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,手捣芒果冰茶（大杯）1份,50
,金桔柠檬1杯,50
,百香凤梨啵啵茶（大杯）1份,50
,【惠】椰椰烧仙草（大杯）1杯,50
,金桔柠檬1杯,50
,【惠】椰椰烧仙草（大杯）1杯,50
,杨枝甘露（大杯）1杯,45
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,金桔柠檬1杯,50
,葡萄芋圆冻冻1杯,45
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【惠】椰椰烧仙草（大杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【会员专享】书亦烧仙草(中杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,金桔柠檬1份,50
,金桔柠檬1份,50
,金桔柠檬1份,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,多肉葡萄冰茶（大杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,40
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
,【会员专享】书亦烧仙草(中杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,40
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,葡萄芋圆冻冻1杯,50
,葡萄芋圆冻冻1杯,40
,小料6选1,50
,葡萄芋圆冻冻1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,40
,【新品】黄金芝士蛋糕厚乳1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【会员专享】书亦烧仙草(中杯)1杯,50
,牛魔王黑砖奶茶+任意一种2元小料1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,40
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,小芋圆烧仙草1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,书亦烧仙草（大杯）1杯,50
,【湖南】黄金珍珠奶茶+芋圆+椰果1份,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【湖南】芋泥全家福+焦糖珍珠奶茶1份,50
,【湖南】黄金珍珠奶茶+芋圆+椰果1份,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,小料6选1,50
,25元代金券1张，可叠加,50
,小料6选1,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,焦糖珍珠奶茶1杯,40
,牛魔王黑砖奶茶1杯,40
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【湖南】书亦烧仙草（大杯)+黑糖小芋圆奶茶1份,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,椰椰烧仙草（大杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【湖南】黄金珍珠奶茶+芋圆+椰果1份,50
,【湖南】黄金珍珠奶茶+芋圆+椰果1份,50
,黑糖小芋圆奶茶1杯,50
,【湖南】黄金珍珠奶茶+芋圆+椰果1份,50
,【湖南】黄金珍珠奶茶+芋圆+椰果1份,50
,【湖南】书亦烧仙草（大杯)+黑糖小芋圆奶茶1份,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【湖南】书亦烧仙草（大杯)+黑糖小芋圆奶茶1份,50
,黑糖小芋圆奶茶1杯,50
,小芋圆烧仙草（中杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,40
,焦糖珍珠奶茶1杯,50
,焦糖珍珠奶茶1杯,50
,牛魔王黑砖奶茶1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,牛魔王黑砖奶茶1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,小料6选1,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,小芋圆烧仙草1杯,50
,书亦烧仙草（中杯）1杯,50
,【热销】书亦烧仙草（大杯）1杯,40
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,40
,牛魔王黑砖奶茶1杯,50
,焦糖珍珠奶茶1杯,50
,【惠】椰椰烧仙草（大杯）1杯,50
,【热销】书亦烧仙草（大杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【惠】椰椰烧仙草（大杯）1杯,50
,【惠】椰椰烧仙草（大杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,小芋圆烧仙草（中杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,小料6选1,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【热销】书亦烧仙草（大杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,40
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,,50
,10元代金券1张，可叠加2张,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,小料6选1,50
,焦糖珍珠奶茶1杯,40
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【热销】书亦烧仙草（大杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,牛魔王黑砖奶茶1杯,50
,书亦烧仙草（中杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,小芋圆烧仙草1杯,50
,10元代金券1张，可叠加2张,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【热销】书亦烧仙草（大杯）1杯,40
,【小春哥同款】书亦烧仙草(大杯)1杯,40
,【新品】黄金芝士厚乳烧仙草（大杯）1份,40
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,40
,【惠】椰椰烧仙草（大杯）1杯,50
,小芋圆烧仙草1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【惠】椰椰烧仙草（大杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【惠】椰椰烧仙草（大杯）1杯,50
,黄金珍奶+任意一种2元小料1杯,40
,小芋圆烧仙草1杯,40
,【惠】椰椰烧仙草（大杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,书亦烧仙草（中杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,酸奶烧仙草（中杯）1杯,50
,小料6选1,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,书亦烧仙草（中杯）1杯,50
,书亦烧仙草（中杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【惠】椰椰烧仙草（大杯）1杯,50
,书亦烧仙草（中杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,40
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,葡萄酸奶冰1杯,50
,小料6选1,50
,草莓啵啵酸奶1杯,50
,草莓啵啵酸奶1杯,50
,书亦烧仙草（大杯）1杯,50
,酸奶烧仙草（中杯）1杯,50
,草莓啵啵酸奶1杯,50
,草莓啵啵酸奶1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
,草莓啵啵酸奶1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,草莓啵啵酸奶1杯,50
,草莓啵啵酸奶1杯,40
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
,书亦烧仙草（大杯）1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,酸奶烧仙草（中杯）1杯,50
,【新品】黄金芝士厚乳烧仙草（大杯）1份,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,草莓啵啵益菌多（中杯）/草莓啵啵橙橙（中杯）（二选一）2杯,50
,,50
,【小春哥同款】书亦烧仙草(大杯)1杯,50
,草莓啵啵益菌多（中杯）/草莓啵啵橙橙（中杯）（二选一）2杯,50
,草莓啵啵益菌多（中杯）/草莓啵啵橙橙（中杯）（二选一）2杯,50
,葡萄柚益菌多1杯,50
