评论内容,购买商品,星级
超级要喝，糯叽叽的芋圆遇上葡萄简直了种草了，下次还要回购,葡萄芋圆冻冻1杯,50
店在美食街一楼，位置比较好找，门头很显眼。之前在美团上秒杀的，六元，就是半价了。黑糖小芋圆，里面当然有黑糖了，琥珀般的条纹，很好看，里面还有小芋圆等。店面较大，有休息区等，环境不错。位于大学城，地段很好。,黑糖小芋圆奶茶1杯,50
回购辣回购辣！！！！真的超级好喝，特别是草莓啵啵酸奶！酸酸甜甜，简直是无法用语言形容的人间美味！！天气再热一点喝的话就更爽了！下次再尝试别的品，这两款先强推给大家哦～店里的小姐姐也超级温柔的，草莓酸奶啵啵可以做成少冰的。,草莓啵啵酸奶+芝士芒果多多1份,50
很好，可以，量挺多的，很好，好喝,【小春哥同款】书亦烧仙草(大杯)1杯,50
很不错的，量很大很多，挺好的。,【小春哥同款】书亦烧仙草(大杯)1杯,50
一如既往的喜欢书亦，料足，喜欢葡萄芋圆冻冻，嚼起来QQ弹弹，而且书亦家价格也便宜，性价比很高了~最喜欢的应该还是经典的书亦烧仙草，真的半杯都是料，就是甜度不太能选择，不过每次买一杯都感觉自己吃饱又能喝饱.wahhhhh,【小春哥同款】书亦烧仙草(大杯)1杯,50
不错,葡萄芋圆冻冻1杯,50
我已经连着喝书亦烧仙草了！真的超超超超超超超超超超超超超超超超超超超超超超超超超好喝！杨枝甘露，草莓啵啵酸奶，芝士芒果多多，还有椰椰烧仙草都很好喝！之前喝葡萄芋圆冻冻也很赞！马上夏天了，建议大家都喝冷饮，更爽！,【惠】椰椰烧仙草（大杯）1杯,50
好喝！每次都喝，椰汁的不甜最好喝，里面原料很多,【惠】椰椰烧仙草（大杯）1杯,50
经常去喝，很划算，味道也很好。觉得比其他奶茶要划算很多。都是料，买一杯可以吃饱了,【小春哥同款】书亦烧仙草(大杯)1杯,50
很好喝姐妹们都很喜欢很满意啦以后还会再来的,【湖南】葡萄芋圆冻冻+焦糖珍珠奶茶1份,50
环境挺好的经常去................,【小春哥同款】书亦烧仙草(大杯)1杯,40
