评论内容,购买商品,星级
很满意的一次就餐体验，整体评价的话我觉得：口味赞、环境优雅、性价比高、服务细致、团购接待好。好喝，服务态度超好，人也好，东西干净好喝太符合我口味了「#套餐：杨枝甘露椰奶」太好喝了，喝过最好喝的杨枝甘露！！！,杨枝甘露椰奶1中,50
这次就餐整体感觉很赞，比较满意的方面有：口味、环境、性价比、团购接待、服务。文博喝了都说好！,超A芝士葡萄1大,50
此次用餐总体来说不错，觉得比较认可的地方有：口味、环境、性价比、服务。可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以,超A芝士葡萄1大,50
很满意的一次就餐体验，整体评价的话我觉得：服务。,超A芝士葡萄1大,30
非常好喝(✪▽✪)，芝士多肉葡萄yyds,超A芝士葡萄1大,50
很满意的一次就餐体验,超A芝士葡萄1大,50
冲冲冲 每天一杯喝不腻！爱喝甜的姐妹一定要七分甜！好喝到爆炸！,芝士多肉桃桃1大,50
最爱古茗的杨枝甘露，很好喝，推荐。,杨枝甘露椰奶1中,50
非常「#套餐：芝士多肉桃桃」好！！！！！！！！！！！！！！！！！,芝士多肉桃桃1大,50
很满意的一次就餐体验，整体评价的话我觉得：口味。,布蕾脆脆奶芙1中,50
好喝就完事了，打游戏可以喝，单身狗也可以喝,超A芝士葡萄1大,50
好喝！室友很喜欢喝 团购会员划算 古茗很棒！,超A芝士葡萄1大,50
好喝,超A芝士葡萄1大,50
古茗味道一直都还是可以的，奶茶和果茶都很棒,超A芝士葡萄1大,50
服务态度好，小姐姐小哥哥们都很礼貌。奶茶也很好喝,芝士多肉桃桃1大,50
一直都很喜欢，态度非常好，价格实惠。,芝士多肉桃桃1大,50
此次用餐总体来说不错，觉得比较认可的地方有：性价比、环境。,布蕾脆脆奶芙1中,40
布蕾脆脆奶芙超级棒！奶芙很细腻，上面的坚果仁很好吃，特别是里面的布丁，推荐推荐！,布蕾脆脆奶芙1中,50
这个活动超值啊，古茗杨枝甘露YYDS，最爱的品牌没有之一。我对象不爱喝奶茶的一个人都说好喝,杨枝甘露椰奶1中,50
