店铺名,店铺所在位置,人均消费,评分,美食名称,店铺图片链接,纬度,经度,最低价格,店铺ID,店铺详情页
R&B珍奶（兴旺路店）,北城世纪城,13.0,4.4,奶茶/果汁,https://img.meituan.net/w.h/msmerchant/72cef4e2bb6e392d0eddc26735489c9b31558.jpg,32.0056,117.2443,7.5,1498647136,https://www.meituan.com/meishi/1498647136/
沪上阿姨鲜果茶（磨店美食街店）,磨店,15.0,4.6,奶茶/果汁,http://p0.meituan.net/w.h/biztone/1847347851_1637748790659.jpeg,31.9387,117.3814,0.66,1455321908,https://www.meituan.com/meishi/1455321908/
蜜雪冰城（幸福坝地铁站店）,肥西县,7.0,4.7,奶茶/果汁,http://p1.meituan.net/w.h/biztone/2e5610e337d0a30c2ecf9cf00aa0f266162461.jpg,31.7511,117.1818,0.1,1895671513,https://www.meituan.com/meishi/1895671513/
春莱·老挝冰咖啡·泰式奶茶（大学城店）,大学城,20.0,4.5,奶茶/果汁,http://p0.meituan.net/w.h/merchant/11ff02daa5b06e0172b82bd24966047e64642.png,31.7755,117.2075,8.9,556365080,https://www.meituan.com/meishi/556365080/
奶茶先生（名邦店）,名邦广场,7.0,3.8,奶茶/果汁,http://p0.meituan.net/w.h/merchant/bd06a41562f1e0c7befa48ea0577d1b9105589.jpg,31.7131,117.1542,6.9,673386439,https://www.meituan.com/meishi/673386439/
奶茶先生（琥珀名城店）,龙岗路,0.0,3.9,奶茶/果汁,http://p1.meituan.net/w.h/wmproduct/772b877fce63e9ff800c28edc849f878116633.jpg,31.8692,117.3799,0.0,1338538458,https://www.meituan.com/meishi/1338538458/
甜啦啦（华润苏果店）,苏果超市,13.0,3.9,奶茶/果汁,http://p0.meituan.net/w.h/biztone/429d5a765abe8471d369152100f46494140295.jpg,31.3325,117.0945,0.1,501573072,https://www.meituan.com/meishi/501573072/
春莱·老挝冰咖啡·泰式奶茶（华府骏苑店）,南七里站,0.0,4.0,奶茶/果汁,http://p0.meituan.net/w.h/deal/eb45a14effcff8be8bdcaa5ed0ac392a2260247.png,31.8311,117.2358,8.9,1465167083,https://www.meituan.com/meishi/1465167083/
甜啦啦·鲜果奶茶（包河花园店）,包河花园,13.0,4.5,传统甜品,http://p0.meituan.net/w.h/biztone/429d5a765abe8471d369152100f46494140295.jpg,31.7974,117.3331,0.1,522014292,https://www.meituan.com/meishi/522014292/
熊姬手作茶物（万科广场店）,万科森林公园,16.0,4.7,饮品店,http://p0.meituan.net/w.h/merchant/143370b19d5e865f6f2709cfcb71d117150264.jpg,31.8922,117.2341,10.8,1629618727,https://www.meituan.com/meishi/1629618727/
蔻茶（宝业东城广场店）,宝业东城广场,9.0,4.6,奶茶/果汁,http://p1.meituan.net/w.h/merchant/0185918d86b996baa3a5f9e8209506e625749.jpg,31.871,117.3373,5.9,1151805163,https://www.meituan.com/meishi/1151805163/
甜啦啦·奶茶冰淇淋（皇家花园店）,蒙城北路,14.0,4.5,奶茶/果汁,http://p0.meituan.net/w.h/biztone/429d5a765abe8471d369152100f46494140295.jpg,31.9246,117.2674,0.1,959990506,https://www.meituan.com/meishi/959990506/
